INCIDENT_TYPE,MONTH,YEAR,HUNDRED_BLOCK
Theft from Motor Vehicle,8,2014,13400 BOLIVAR CRES     
Theft of Motor Vehicle,8,2014,14800 17TH AVE     
Shoplifting,8,2014,10300 KING GEORGE BLVD    
Theft of Motor Vehicle,8,2014,7800 128TH ST     
Theft from Motor Vehicle,8,2014,14100 104TH AVE     
Theft from Motor Vehicle,8,2014,15300 96TH AVE     
Theft from Motor Vehicle,8,2014,11000 129A ST     
Theft from Motor Vehicle,8,2014,14200 18A AVE     
Theft of Motor Vehicle,8,2014,7100 HALL RD     
Break and Enter - Residence,8,2014,15800 TULIP DR     
Theft from Motor Vehicle,8,2014,15900 84TH AVE     
Theft from Motor Vehicle,8,2014,7700 147TH ST     
Theft from Motor Vehicle,8,2014,7000 138TH ST     
Theft of Motor Vehicle,8,2014,12500 21A AVE     
Break and Enter - Residence,8,2014,17200 23RD AVE     
Theft from Motor Vehicle,8,2014,2900 156TH ST     
Theft from Motor Vehicle,8,2014,6600 192ND ST     
Theft from Motor Vehicle,8,2014,9700 188TH ST     
Theft from Motor Vehicle,8,2014,13300 76TH AVE     
Theft of Motor Vehicle,8,2014,14400 75A AVE     
Shoplifting,8,2014,15300 24TH AVE     
Theft from Motor Vehicle,8,2014,13200 KING GEORGE BLVD    
Shoplifting,8,2014,6400 176TH ST     
Theft from Motor Vehicle,8,2014,16300 60A AVE     
Theft of Motor Vehicle,8,2014,10100 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,8200 162A ST     
Shoplifting,8,2014,9000 152ND ST     
Fatal/Injury Collision,8,2014,6700 150TH ST     
Break and Enter - Residence,8,2014,6100 188TH ST     
Shoplifting,8,2014,15300 FRASER HWY     
Theft from Motor Vehicle,8,2014,15700 92A AVE     
Break and Enter - Residence,8,2014,5600 144A ST     
Theft from Motor Vehicle,8,2014,16500 FRASER HWY     
Shoplifting,8,2014,10300 152ND ST     
Theft from Motor Vehicle,8,2014,15700 92A AVE     
Fatal/Injury Collision,8,2014,16000 FRASER HWY     
Break and Enter - Residence,8,2014,10400 FRASERGLEN DR     
Theft from Motor Vehicle,8,2014,11200 135A ST     
Theft from Motor Vehicle,8,2014,13800 COWAN RD     
Fatal/Injury Collision,8,2014,15200 17TH AVE     
Shoplifting,8,2014,10300 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,13800 77TH AVE     
Theft from Motor Vehicle,8,2014,14800 95A AVE     
Shoplifting,8,2014,7400 KING GEORGE BLVD    
Theft of Motor Vehicle,8,2014,10700 139TH ST     
Theft from Motor Vehicle,8,2014,7000 138TH ST     
Break and Enter - Residence,8,2014,8000 168A ST     
Theft from Motor Vehicle,8,2014,17900 20TH AVE     
Theft from Motor Vehicle,8,2014,800 164A ST     
Shoplifting,8,2014,3000 152ND ST     
Shoplifting,8,2014,10300 152ND ST     
Theft from Motor Vehicle,8,2014,1800 SOUTHMERE CRES E    
Theft from Motor Vehicle,8,2014,12500 110TH AVE     
Theft from Motor Vehicle,8,2014,6200 148A ST     
Theft from Motor Vehicle,8,2014,10300 152ND ST     
Theft from Motor Vehicle,8,2014,18200 66TH AVE     
Theft of Motor Vehicle,8,2014,6400 187TH ST     
Theft from Motor Vehicle,8,2014,13700 102ND AVE     
Break and Enter - Residence,8,2014,5600 SUNRISE CRES E    
Theft from Motor Vehicle,8,2014,13300 102A AVE     
Shoplifting,8,2014,1600 152ND ST     
Theft from Motor Vehicle,8,2014,7000 138TH ST     
Theft from Motor Vehicle,8,2014,18000 58A AVE     
Theft of Motor Vehicle,8,2014,18400 66TH AVE     
Theft from Motor Vehicle,8,2014,7000 138TH ST     
Theft from Motor Vehicle,8,2014,8100 169TH ST     
Theft from Motor Vehicle,8,2014,16000 82ND AVE     
Shoplifting,8,2014,18700 FRASER HWY     
Break and Enter - Residence,8,2014,13100 78A AVE     
Break and Enter - Residence,8,2014,10100 153RD ST     
Theft from Motor Vehicle,8,2014,2500 KING GEORGE BLVD    
Fatal/Injury Collision,8,2014,6700 KING GEORGE BLVD    
Shoplifting,8,2014,1600 152ND ST     
Theft of Motor Vehicle,8,2014,8700 HARVIE RD     
Shoplifting,8,2014,10100 KING GEORGE BLVD    
Break and Enter - Business,8,2014,13700 88TH AVE     
Theft from Motor Vehicle,8,2014,7300 142A ST     
Theft of Motor Vehicle,8,2014,10000 152ND ST     
Break and Enter - Residence,8,2014,13000 80TH AVE     
Break and Enter - Business,8,2014,13600 100TH AVE     
Break and Enter - Business,8,2014,10200 WHALLEY BLVD     
Theft from Motor Vehicle,8,2014,7700 ANVIL WAY     
Break and Enter - Residence,8,2014,10500 140TH ST     
Theft from Motor Vehicle,8,2014,13400 108TH AVE     
Theft of Motor Vehicle,8,2014,16900 104TH AVE     
Theft from Motor Vehicle,8,2014,6600 121ST ST     
Theft from Motor Vehicle,8,2014,6800 191ST ST     
Theft of Motor Vehicle,8,2014,13300 76TH AVE     
Theft from Motor Vehicle,8,2014,2900 145A ST     
Theft from Motor Vehicle,8,2014,8300 128TH ST     
Theft of Motor Vehicle,8,2014,2800 130TH ST     
Break and Enter - Residence,8,2014,6500 196TH ST     
Theft of Motor Vehicle,8,2014,13300 102A AVE     
Shoplifting,8,2014,7300 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,7000 120TH ST     
Theft from Motor Vehicle,8,2014,13300 76TH AVE     
Theft of Motor Vehicle,8,2014,2600 128TH ST     
Theft from Motor Vehicle,8,2014,12600 24A AVE     
Theft of Motor Vehicle,8,2014,7100 150TH ST     
Theft from Motor Vehicle,8,2014,10000 160TH ST     
Theft from Motor Vehicle,8,2014,11500 140TH ST     
Theft of Motor Vehicle,8,2014,14300 103RD AVE     
Theft from Motor Vehicle,8,2014,15200 104TH AVE     
Theft of Motor Vehicle,8,2014,9900 149TH ST     
Shoplifting,8,2014,7300 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,9500 140TH ST     
Theft from Motor Vehicle,8,2014,10100 152ND ST     
Break and Enter - Residence,8,2014,13700 67TH AVE     
Theft of Motor Vehicle,8,2014,13100 64TH AVE     
Theft from Motor Vehicle,8,2014,2800 156TH ST     
Theft of Motor Vehicle,8,2014,15000 86TH AVE     
Break and Enter - Residence,8,2014,2400 168TH ST     
Shoplifting,8,2014,8900 152ND ST     
Theft from Motor Vehicle,8,2014,17300 1A AVE     
Shoplifting,8,2014,6900 KING GEORGE BLVD    
Shoplifting,8,2014,7500 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,14300 17TH AVE     
Break and Enter - Residence,8,2014,16800 87TH AVE     
Break and Enter - Residence,8,2014,17600 66A AVE     
Theft of Motor Vehicle,8,2014,13000 73RD AVE     
Fatal/Injury Collision,8,2014,13400 72ND AVE     
Break and Enter - Residence,8,2014,9900 156TH ST     
Break and Enter - Residence,8,2014,14000 BEAR CREEK DR    
Theft from Motor Vehicle,8,2014,7000 152ND ST     
Shoplifting,8,2014,12000 NORDEL WAY     
Shoplifting,8,2014,19300 ENTERPRISE WAY     
Theft from Motor Vehicle,8,2014,5900 177B ST     
Break and Enter - Residence,8,2014,6700 132ND ST     
Theft from Motor Vehicle,8,2014,16900 104TH AVE     
Theft of Motor Vehicle,8,2014,6700 191A ST     
Break and Enter - Residence,8,2014,13800 FRASER HWY     
Theft from Motor Vehicle,8,2014,8300 128TH ST     
Theft of Motor Vehicle,8,2014,11300 WALLACE DR     
Shoplifting,8,2014,6900 KING GEORGE BLVD    
Shoplifting,8,2014,10300 KING GEORGE BLVD    
Theft of Motor Vehicle,8,2014,7800 132ND ST     
Fatal/Injury Collision,8,2014,14000 104TH AVE     
Fatal/Injury Collision,8,2014,7400 132ND ST     
Fatal/Injury Collision,8,2014,10200 143A ST     
Shoplifting,8,2014,10300 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,12200 SULLIVAN ST     
Break and Enter - Residence,8,2014,13200 57TH AVE     
Break and Enter - Residence,8,2014,9000 156A ST     
Shoplifting,8,2014,6900 KING GEORGE BLVD    
Shoplifting,8,2014,1700 GUILDFORD TOWN CNTR    
Theft from Motor Vehicle,8,2014,7100 LEVY PL     
Break and Enter - Residence,8,2014,12800 68A AVE     
Theft from Motor Vehicle,8,2014,6200 175A ST     
Theft from Motor Vehicle,8,2014,13700 88TH AVE     
Break and Enter - Residence,8,2014,13900 115A AVE     
Shoplifting,8,2014,10300 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,12900 60TH AVE     
Theft from Motor Vehicle,8,2014,7600 128TH ST     
Break and Enter - Residence,8,2014,14100 110TH AVE     
Theft from Motor Vehicle,8,2014,10000 WHALLEY BLVD     
Fatal/Injury Collision,8,2014,15700 CROYDON DR     
Fatal/Injury Collision,8,2014,12700 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,12100 96A AVE     
Break and Enter - Residence,8,2014,14600 81A AVE     
Fatal/Injury Collision,8,2014,14700 28TH AVE     
Fatal/Injury Collision,8,2014,14000 COLEBROOK RD     
Theft of Motor Vehicle,8,2014,6200 MORGAN PL     
Theft from Motor Vehicle,8,2014,7900 144A ST     
Shoplifting,8,2014,12100 NORDEL WAY     
Fatal/Injury Collision,8,2014,13400 79TH AVE     
Theft of Motor Vehicle,8,2014,14500 32ND AVE     
Theft from Motor Vehicle,8,2014,2300 160TH ST     
Shoplifting,8,2014,9600 152ND ST     
Theft of Motor Vehicle,8,2014,13500 73RD AVE     
Theft of Motor Vehicle,8,2014,15600 90TH AVE     
Break and Enter - Residence,8,2014,7200 129B ST     
Theft from Motor Vehicle,8,2014,7700 138TH ST     
Shoplifting,8,2014,10400 152ND ST     
Shoplifting,8,2014,15900 FRASER HWY     
Theft from Motor Vehicle,8,2014,14000 72ND AVE     
Shoplifting,8,2014,9000 152ND ST     
Theft from Motor Vehicle,8,2014,10500 144TH ST     
Fatal/Injury Collision,8,2014,2400 152ND ST     
Shoplifting,8,2014,10300 152ND ST     
Shoplifting,8,2014,2300 160TH ST     
Theft of Motor Vehicle,8,2014,12500 110TH AVE     
Theft from Motor Vehicle,8,2014,15600 83RD AVE     
Shoplifting,8,2014,7500 KING GEORGE BLVD    
Shoplifting,8,2014,10100 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,10200 CITY PKWY     
Break and Enter - Residence,8,2014,15400 17TH AVE     
Theft from Motor Vehicle,8,2014,18600 62A AVE     
Theft from Motor Vehicle,8,2014,6000 163A ST     
Break and Enter - Residence,8,2014,13600 115TH AVE     
Theft from Motor Vehicle,8,2014,14800 58A AVE     
Shoplifting,8,2014,10700 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,4800 131A ST     
Fatal/Injury Collision,8,2014,9300 122ND ST     
Theft from Motor Vehicle,8,2014,10000 152ND ST     
Theft of Motor Vehicle,8,2014,9400 151A ST     
Shoplifting,8,2014,10200 WHALLEY BLVD     
Shoplifting,8,2014,7200 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,3300 151ST ST     
Break and Enter - Residence,8,2014,1900 155A ST     
Break and Enter - Residence,8,2014,2100 172ND ST     
Break and Enter - Residence,8,2014,10100 128A ST     
Theft from Motor Vehicle,8,2014,12800 85TH AVE     
Theft of Motor Vehicle,8,2014,13200 OLD YALE RD    
Theft from Motor Vehicle,8,2014,15000 BLUEBIRD CRES     
Break and Enter - Residence,8,2014,12100 82ND AVE     
Theft from Motor Vehicle,8,2014,8800 184TH ST     
Break and Enter - Residence,8,2014,9100 149TH ST     
Break and Enter - Residence,8,2014,10800 141A ST     
Theft from Motor Vehicle,8,2014,14300 60TH AVE     
Shoplifting,8,2014,14600 104TH AVE     
Theft of Motor Vehicle,8,2014,15000 97TH AVE     
Break and Enter - Residence,8,2014,17700 96TH AVE     
Shoplifting,8,2014,10100 KING GEORGE BLVD    
Shoplifting,8,2014,1600 152ND ST     
Theft from Motor Vehicle,8,2014,11000 161A ST     
Theft from Motor Vehicle,8,2014,15300 102A AVE     
Shoplifting,8,2014,10300 152ND ST     
Theft from Motor Vehicle,8,2014,14200 16A AVE     
Shoplifting,8,2014,8000 KING GEORGE BLVD    
Break and Enter - Residence,8,2014,9300 BOTHWELL DR     
Theft of Motor Vehicle,8,2014,12600 80TH AVE     
Break and Enter - Residence,8,2014,18100 73RD AVE     
Break and Enter - Business,8,2014,11100 128TH ST     
Break and Enter - Residence,8,2014,12900 109TH AVE     
Break and Enter - Residence,8,2014,13200 KING GEORGE BLVD    
Break and Enter - Residence,8,2014,8400 121A ST     
Shoplifting,8,2014,12400 88TH AVE     
Theft of Motor Vehicle,8,2014,7700 144TH ST     
Theft of Motor Vehicle,8,2014,12200 92ND AVE     
Theft of Motor Vehicle,8,2014,12300 104TH AVE     
Theft from Motor Vehicle,8,2014,13700 96TH AVE     
Theft from Motor Vehicle,8,2014,14500 80B AVE     
Theft from Motor Vehicle,8,2014,5800 177B ST     
Theft of Motor Vehicle,8,2014,2900 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,1800 168TH ST     
Fatal/Injury Collision,8,2014,14200 100A AVE     
Theft from Motor Vehicle,8,2014,5800 177B ST     
Shoplifting,8,2014,13600 102ND AVE     
Shoplifting,8,2014,6900 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,7100 133RD ST     
Theft of Motor Vehicle,8,2014,13400 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,4600 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,12100 84TH AVE     
Shoplifting,8,2014,7500 KING GEORGE BLVD    
Theft of Motor Vehicle,8,2014,7000 144B ST     
Theft from Motor Vehicle,8,2014,10100 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,5700 176TH ST     
Theft from Motor Vehicle,8,2014,8300 140TH ST     
Shoplifting,8,2014,12700 110TH AVE     
Theft of Motor Vehicle,8,2014,13200 89TH AVE     
Theft from Motor Vehicle,8,2014,8600 KING GEORGE BLVD    
Theft of Motor Vehicle,8,2014,3600 KING GEORGE BLVD    
Shoplifting,8,2014,7500 KING GEORGE BLVD    
Shoplifting,8,2014,1000 GUILDFORD TOWN CTR    
Theft of Motor Vehicle,8,2014,12900 106TH AVE     
Theft of Motor Vehicle,8,2014,14100 PARK DR     
Break and Enter - Residence,8,2014,4700 190TH ST     
Theft from Motor Vehicle,8,2014,9900 132A ST     
Theft from Motor Vehicle,8,2014,14300 103RD AVE     
Theft of Motor Vehicle,8,2014,14800 101A AVE     
Theft from Motor Vehicle,8,2014,9100 162ND ST     
Break and Enter - Residence,8,2014,13700 74TH AVE     
Fatal/Injury Collision,8,2014,5700 172ND ST     
Shoplifting,8,2014,10300 152ND ST     
Theft of Motor Vehicle,8,2014,13300 72ND AVE     
Shoplifting,8,2014,10100 KING GEORGE BLVD    
Theft of Motor Vehicle,8,2014,13300 OLD YALE RD    
Break and Enter - Residence,8,2014,1400 172ND ST     
Fatal/Injury Collision,8,2014,11000 124TH ST     
Theft of Motor Vehicle,8,2014,7400 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,13900 ANTRIM RD     
Theft of Motor Vehicle,8,2014,11000 130A ST     
Theft from Motor Vehicle,8,2014,19000 94TH AVE     
Fatal/Injury Collision,8,2014,7900 132ND ST     
Shoplifting,8,2014,10300 152ND ST     
Shoplifting,8,2014,7400 KING GEORGE BLVD    
Shoplifting,8,2014,10200 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,12300 PATTULLO PL     
Break and Enter - Residence,8,2014,13100 112TH AVE     
Break and Enter - Residence,8,2014,17400 62A AVE     
Theft from Motor Vehicle,8,2014,13600 100TH AVE     
Theft from Motor Vehicle,8,2014,10500 153RD ST     
Fatal/Injury Collision,8,2014,7800 122ND ST     
Shoplifting,8,2014,10300 152ND ST     
Shoplifting,8,2014,10100 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,13900 74TH AVE     
Shoplifting,8,2014,14600 104TH AVE     
Theft from Motor Vehicle,8,2014,7300 194A ST     
Theft of Motor Vehicle,8,2014,8700 159TH ST     
Theft from Motor Vehicle,8,2014,2500 152ND ST     
Theft of Motor Vehicle,8,2014,10900 132ND ST     
Break and Enter - Residence,8,2014,12300 59A AVE     
Theft from Motor Vehicle,8,2014,12500 110TH AVE     
Break and Enter - Residence,8,2014,15900 26TH AVE     
Theft from Motor Vehicle,8,2014,11100 161A ST     
Theft from Motor Vehicle,8,2014,12600 91ST AVE     
Break and Enter - Business,8,2014,7500 120TH ST     
Theft from Motor Vehicle,8,2014,14100 75A AVE     
Theft of Motor Vehicle,8,2014,9600 123A ST     
Break and Enter - Residence,8,2014,15300 105TH AVE     
Shoplifting,8,2014,17700 64TH AVE     
Fatal/Injury Collision,8,2014,12500 82ND AVE     
Theft of Motor Vehicle,8,2014,13300 76TH AVE     
Break and Enter - Residence,8,2014,13800 FRASER HWY     
Break and Enter - Residence,8,2014,2900 KING GEORGE BLVD    
Break and Enter - Residence,8,2014,12700 114B AVE     
Break and Enter - Residence,8,2014,12900 58B AVE     
Theft from Motor Vehicle,8,2014,11000 147A ST     
Shoplifting,8,2014,12100 NORDEL WAY     
Shoplifting,8,2014,7100 138TH ST     
Theft from Motor Vehicle,8,2014,19500 COLEBROOK RD     
Theft of Motor Vehicle,8,2014,6200 120TH ST     
Theft from Motor Vehicle,8,2014,16000 98B AVE     
Shoplifting,8,2014,10400 152ND ST     
Break and Enter - Residence,8,2014,15100 108TH AVE     
Theft from Motor Vehicle,8,2014,10300 149TH ST     
Shoplifting,8,2014,10300 152ND ST     
Theft of Motor Vehicle,8,2014,11100 158TH ST     
Theft from Motor Vehicle,8,2014,12800 85TH AVE     
Break and Enter - Residence,8,2014,13600 100TH AVE     
Shoplifting,8,2014,13700 104TH AVE     
Shoplifting,8,2014,10200 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,13000 106A AVE     
Break and Enter - Residence,8,2014,14300 108TH AVE     
Fatal/Injury Collision,8,2014,18600 64TH AVE     
Break and Enter - Business,8,2014,13400 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,13700 LARNER RD     
Break and Enter - Residence,8,2014,13900 70TH AVE     
Theft from Motor Vehicle,8,2014,14800 17TH AVE     
Theft of Motor Vehicle,8,2014,16100 90TH AVE     
Break and Enter - Residence,8,2014,14900 62ND AVE     
Theft of Motor Vehicle,8,2014,7500 KING GEORGE BLVD    
Shoplifting,8,2014,7500 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,3700 156TH ST     
Break and Enter - Residence,8,2014,13200 28TH AVE     
Shoplifting,8,2014,10300 KING GEORGE BLVD    
Theft of Motor Vehicle,8,2014,9200 160A ST     
Theft from Motor Vehicle,8,2014,13200 COMBER WAY     
Theft from Motor Vehicle,8,2014,8200 129TH ST     
Shoplifting,8,2014,10300 152ND ST     
Shoplifting,8,2014,10100 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,15500 86TH AVE     
Theft of Motor Vehicle,8,2014,18700 88TH AVE     
Shoplifting,8,2014,1000 GUILDFORD TOWN CTR    
Theft from Motor Vehicle,8,2014,12300 84TH AVE     
Theft from Motor Vehicle,8,2014,12400 75TH AVE     
Shoplifting,8,2014,17400 56TH AVE     
Theft of Motor Vehicle,8,2014,9600 134TH ST     
Theft from Motor Vehicle,8,2014,9700 152B ST     
Theft from Motor Vehicle,8,2014,14300 57TH AVE     
Shoplifting,8,2014,15800 26TH AVE     
Break and Enter - Residence,8,2014,1000 GUILDFORD TOWN CTR    
Theft from Motor Vehicle,8,2014,6900 150TH ST     
Theft from Motor Vehicle,8,2014,8900 135A ST     
Theft from Motor Vehicle,8,2014,12500 110TH AVE     
Theft from Motor Vehicle,8,2014,3600 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,11000 132ND ST     
Theft from Motor Vehicle,8,2014,12500 110TH AVE     
Theft from Motor Vehicle,8,2014,13700 74TH AVE     
Theft from Motor Vehicle,8,2014,14200 62ND AVE     
Shoplifting,8,2014,14600 104TH AVE     
Theft of Motor Vehicle,8,2014,10100 KING GEORGE BLVD    
Theft of Motor Vehicle,8,2014,9300 121ST ST     
Shoplifting,8,2014,7300 KING GEORGE BLVD    
Break and Enter - Residence,8,2014,8200 KING GEORGE BLVD    
Shoplifting,8,2014,10300 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,16200 93A AVE     
Break and Enter - Residence,8,2014,12100 75A AVE     
Shoplifting,8,2014,12700 110TH AVE     
Break and Enter - Residence,8,2014,17100 104TH AVE     
Shoplifting,8,2014,9500 120TH ST     
Theft from Motor Vehicle,8,2014,6400 184A ST     
Shoplifting,8,2014,12800 96TH AVE     
Shoplifting,8,2014,10200 KING GEORGE BLVD    
Fatal/Injury Collision,8,2014,10500 KING GEORGE BLVD    
Break and Enter - Residence,8,2014,8600 171ST ST     
Break and Enter - Business,8,2014,15300 68TH AVE     
Theft of Motor Vehicle,8,2014,7600 145A ST     
Break and Enter - Residence,8,2014,17200 HILLVIEW PL     
Theft of Motor Vehicle,8,2014,4600 KING GEORGE BLVD    
Shoplifting,8,2014,10200 KING GEORGE BLVD    
Theft of Motor Vehicle,8,2014,12300 84TH AVE     
Shoplifting,8,2014,10300 152ND ST     
Theft of Motor Vehicle,8,2014,14600 68TH AVE     
Break and Enter - Residence,8,2014,6000 136TH ST     
Theft from Motor Vehicle,8,2014,18300 HUNTER PL     
Shoplifting,8,2014,1700 GUILDFORD TOWN CNTR    
Theft of Motor Vehicle,8,2014,12500 88TH AVE     
Theft of Motor Vehicle,8,2014,19400 71A AVE     
Shoplifting,8,2014,2300 GUILDFORD TOWN CNTR    
Break and Enter - Residence,8,2014,15100 108TH AVE     
Theft from Motor Vehicle,8,2014,7100 121ST ST     
Theft from Motor Vehicle,8,2014,10000 SCOTT RD     
Shoplifting,8,2014,12800 96TH AVE     
Theft from Motor Vehicle,8,2014,10900 141A ST     
Fatal/Injury Collision,8,2014,15100 70A AVE     
Fatal/Injury Collision,8,2014,10100 KING GEORGE BLVD    
Break and Enter - Business,8,2014,13300 COMBER WAY     
Break and Enter - Residence,8,2014,14100 77TH AVE     
Theft of Motor Vehicle,8,2014,12500 110TH AVE     
Theft from Motor Vehicle,8,2014,16200 60TH AVE     
Shoplifting,8,2014,10300 KING GEORGE BLVD    
Theft of Motor Vehicle,8,2014,8700 160TH ST     
Theft of Motor Vehicle,8,2014,13900 79A AVE     
Break and Enter - Residence,8,2014,2700 127TH ST     
Break and Enter - Residence,8,2014,13800 FRASER HWY     
Shoplifting,8,2014,6900 KING GEORGE BLVD    
Shoplifting,8,2014,14600 104TH AVE     
Theft of Motor Vehicle,8,2014,13400 68TH AVE     
Shoplifting,8,2014,14600 104TH AVE     
Fatal/Injury Collision,8,2014,16600 61ST AVE     
Break and Enter - Residence,8,2014,13500 GATEWAY DR     
Break and Enter - Residence,8,2014,1900 144TH ST     
Shoplifting,8,2014,7100 138TH ST     
Theft from Motor Vehicle,8,2014,7400 148TH ST     
Break and Enter - Residence,8,2014,9400 173A ST     
Theft of Motor Vehicle,8,2014,12700 66TH AVE     
Shoplifting,8,2014,12700 110TH AVE     
Break and Enter - Residence,8,2014,13200 104TH AVE     
Theft from Motor Vehicle,8,2014,12600 98TH AVE     
Break and Enter - Residence,8,2014,15700 87A AVE     
Shoplifting,8,2014,7500 KING GEORGE BLVD    
Break and Enter - Residence,8,2014,6600 120TH ST     
Theft of Motor Vehicle,8,2014,7100 143A ST     
Theft of Motor Vehicle,8,2014,13400 102ND AVE     
Shoplifting,8,2014,1600 152ND ST     
Break and Enter - Residence,8,2014,19400 72A AVE     
Theft from Motor Vehicle,8,2014,2500 144TH ST     
Shoplifting,8,2014,10200 KING GEORGE BLVD    
Shoplifting,8,2014,10300 152ND ST     
Theft from Motor Vehicle,8,2014,9500 PRINCE CHARLES BLVD    
Theft of Motor Vehicle,8,2014,10200 KING GEORGE BLVD    
Shoplifting,8,2014,7500 KING GEORGE BLVD    
Theft of Motor Vehicle,8,2014,5500 188TH ST     
Theft from Motor Vehicle,8,2014,1400 136TH ST     
Break and Enter - Residence,8,2014,18500 64B AVE     
Theft of Motor Vehicle,8,2014,12600 110TH AVE     
Theft from Motor Vehicle,8,2014,10600 HOLLY PARK LANE    
Break and Enter - Residence,8,2014,1700 SOUTHMERE CRES     
Theft of Motor Vehicle,8,2014,9400 128TH ST     
Break and Enter - Residence,8,2014,10600 137A ST     
Shoplifting,8,2014,12000 NORDEL WAY     
Fatal/Injury Collision,8,2014,2300 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,8400 141A ST     
Shoplifting,8,2014,1600 152ND ST     
Shoplifting,8,2014,1600 152ND ST     
Shoplifting,8,2014,2300 160TH ST     
Theft from Motor Vehicle,8,2014,6200 120TH ST     
Theft from Motor Vehicle,8,2014,13200 108TH AVE     
Break and Enter - Residence,8,2014,16100 CREEKSIDE GRV     
Break and Enter - Residence,8,2014,16600 85B AVE     
Shoplifting,8,2014,1700 152ND ST     
Theft from Motor Vehicle,8,2014,9800 160TH ST     
Theft from Motor Vehicle,8,2014,6300 124TH ST     
Shoplifting,8,2014,10100 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,2800 156TH ST     
Theft from Motor Vehicle,8,2014,6000 GREENSIDE DR E    
Break and Enter - Residence,8,2014,9300 122ND ST     
Fatal/Injury Collision,8,2014,14300 67A AVE     
Theft of Motor Vehicle,8,2014,2200 130TH ST     
Theft from Motor Vehicle,8,2014,7400 144TH ST     
Break and Enter - Residence,8,2014,14100 57A AVE     
Break and Enter - Residence,8,2014,16400 64TH AVE     
Shoplifting,8,2014,10700 KING GEORGE BLVD    
Shoplifting,8,2014,7300 KING GEORGE BLVD    
Break and Enter - Residence,8,2014,13700 74TH AVE     
Break and Enter - Residence,8,2014,10800 130A ST     
Shoplifting,8,2014,10100 KING GEORGE BLVD    
Theft from Motor Vehicle,8,2014,6600 185A ST     
Theft of Motor Vehicle,8,2014,13100 73RD AVE     
Theft from Motor Vehicle,8,2014,3600 KING GEORGE BLVD    
Break and Enter - Residence,8,2014,15900 86A AVE     
Theft from Motor Vehicle,8,2014,100 HWY 99     
Break and Enter - Residence,8,2014,15900 26TH AVE     
Shoplifting,8,2014,1600 152ND ST     
Theft from Motor Vehicle,8,2014,9000 152ND ST     
Theft from Motor Vehicle,8,2014,9600 151B ST     
Theft from Motor Vehicle,8,2014,3600 KING GEORGE BLVD    
Shoplifting,8,2014,1700 152ND ST     
Shoplifting,8,2014,10000 152ND ST     
Theft from Motor Vehicle,8,2014,19400 72ND AVE     
Theft from Motor Vehicle,8,2014,9200 158TH ST     
Theft of Motor Vehicle,8,2014,14600 80A AVE     
Break and Enter - Residence,8,2014,15800 93A AVE     
Theft of Motor Vehicle,8,2014,7600 140A ST     
Theft from Motor Vehicle,8,2014,13300 104TH AVE     
Theft from Motor Vehicle,8,2014,10200 KING GEORGE BLVD    
Shoplifting,8,2014,15300 24TH AVE     
Break and Enter - Residence,8,2014,13400 113TH AVE     
Shoplifting,8,2014,8800 152ND ST     
Shoplifting,8,2014,10100 KING GEORGE BLVD    
Fatal/Injury Collision,8,2014,10300 152ND ST     
Break and Enter - Residence,8,2014,5800 122ND ST     
Theft from Motor Vehicle,8,2014,6900 144A ST     
Break and Enter - Residence,8,2014,7300 PARKWOOD DR     
Break and Enter - Residence,8,2014,12200 73A AVE     
Theft of Motor Vehicle,8,2014,6600 120TH ST     
Theft from Motor Vehicle,8,2014,9200 138TH ST     
Break and Enter - Residence,8,2014,14700 60TH AVE     
Theft from Motor Vehicle,8,2014,15700 CROYDON DR     
Break and Enter - Residence,8,2014,18000 21A AVE     
Shoplifting,8,2014,10200 WHALLEY BLVD     
Shoplifting,8,2014,10400 152ND ST     
Theft from Motor Vehicle,8,2014,13300 105TH AVE     
